PRICECHANGE,value,total_points,transfers_balance ,selected,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,opponent_team
0,45,0,194,4562,66,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5
0,45,0,218,4478,64,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19
0,45,1,0,48511,0,0,90,0,0,0,3,0,0,0,0,0,0,0,17,136,69,40,25,0,1,0,2,8,0,3,0,69,57,0,0,1,0,2,0,0,2,9,11
0,45,2,2284,48049,569,2853,90,0,0,0,1,0,0,0,0,0,0,0,15,204,4,180,39,0,0,0,7,1,0,3,0,43,33,0,0,0,0,0,0,2,0,20,20
0,45,2,3381,45321,837,4218,90,0,0,0,1,0,0,0,0,0,0,0,19,336,5,0,34,0,0,0,23,7,0,0,0,36,26,0,0,0,0,0,0,2,0,22,5
0,45,6,3809,41993,1378,5187,90,0,0,1,0,0,0,0,0,0,0,0,31,346,13,80,44,0,0,0,14,8,0,2,0,48,38,0,0,0,0,1,1,1,1,32,19
0,50,1,0,19836,0,0,90,0,0,0,3,0,0,0,0,0,0,0,14,128,15,0,14,0,0,0,5,5,0,0,0,60,51,0,0,0,0,0,0,0,1,9,11
0,50,1,990,20340,354,1344,90,0,0,0,1,0,0,0,1,0,0,0,16,454,103,550,111,0,0,0,14,2,1,0,0,50,41,0,0,0,0,0,0,0,1,20,20
0,50,2,1537,19376,226,1763,90,0,0,0,1,0,0,0,0,0,0,0,14,410,104,20,53,0,0,0,15,1,1,0,0,23,20,0,0,0,0,0,0,0,0,22,5
0,50,7,1131,18702,274,1405,90,0,0,1,0,0,0,0,0,0,0,1,32,278,8,20,31,0,0,0,13,6,0,1,0,37,30,0,0,0,0,0,0,0,0,32,19
0,50,1,0,160092,0,0,90,0,0,0,3,0,0,0,0,0,0,0,19,162,297,0,46,0,1,0,3,4,2,1,0,51,50,0,0,0,0,0,0,1,1,9,11
0,50,2,8596,153657,897,9493,90,0,0,0,1,0,0,0,0,0,0,0,14,198,255,0,45,0,1,0,7,4,2,0,0,40,33,0,0,0,0,2,0,1,0,20,20
0,50,2,14404,139863,654,15058,90,0,0,0,1,0,0,0,0,0,0,0,6,58,67,70,20,0,1,0,2,3,0,0,0,33,25,1,0,0,0,0,1,1,0,22,5
0,50,8,12604,127721,1273,13877,90,0,0,1,0,0,0,0,0,0,0,2,33,178,165,40,38,0,1,0,6,3,1,1,0,35,29,0,0,0,0,1,0,0,4,32,19
0,45,7,0,21505,0,0,90,1,0,0,3,0,0,0,0,0,0,0,23,424,43,270,74,0,0,0,1,3,0,0,0,47,39,0,0,0,0,2,0,0,2,9,11
0,45,2,24466,95078,28792,4326,90,0,0,0,1,0,0,0,0,0,0,0,15,200,23,90,31,0,0,0,8,5,0,0,0,43,40,0,0,0,0,1,0,1,0,20,20
0,45,2,13413,120622,22690,9277,90,0,0,0,1,0,0,0,0,0,0,0,13,128,149,20,30,0,1,0,2,6,1,1,0,34,27,0,0,0,0,3,0,1,2,22,5
0,45,11,5009,129757,16506,11497,90,0,1,1,0,0,0,0,1,0,0,3,36,316,243,20,58,0,2,0,5,6,1,1,0,59,48,0,0,0,0,1,0,2,2,32,19
0,45,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
0,45,0,81,950,28,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
0,45,0,90,878,25,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5
0,45,0,13,926,102,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19
